id,"2nd__fft_coefficient__coeff_76__attr_""imag""","3rd__fft_coefficient__coeff_24__attr_""real""","2nd__fft_coefficient__coeff_94__attr_""real""",2nd__partial_autocorrelation__lag_3,"3rd__fft_coefficient__coeff_62__attr_""abs""","2nd__fft_coefficient__coeff_99__attr_""imag""","3rd__fft_coefficient__coeff_57__attr_""real""","2nd__fft_coefficient__coeff_96__attr_""real""",1st__energy_ratio_by_chunks__num_segments_10__segment_focus_1,"2nd__fft_coefficient__coeff_11__attr_""angle""","3rd__fft_coefficient__coeff_73__attr_""imag""","1st__fft_coefficient__coeff_41__attr_""imag""","2nd__fft_coefficient__coeff_81__attr_""real"""
0,-0.692558663,-0.100232319,-1.009782608,0.058567877,1.993266153,-0.457273706,0.137496219,-0.344758499,0.090480233,-171.9447164,-1.108512604,0.728659509,1.389872883
1,-0.078411925,0.015656606,-0.515494252,0.050829574,0.278698427,-0.412949324,-0.123712335,-0.462765642,0.072024303,138.9813337,-0.7255387,-1.428480393,0.16242392
2,-0.002270735,-1.059317323,-0.225429105,0.035183302,0.668707712,0.122123461,0.106815842,-0.186964917,0.067962296,94.40130507,-0.366173587,-0.172382378,-0.085265482
3,-0.015163754,-0.971780699,-0.028546682,0.016656817,1.063190308,-0.267376347,0.269572073,-0.418580103,0.076034024,99.33166686,0.291074889,-2.059058073,0.259556879
4,-0.018313851,-0.016209704,-0.021969579,0.0640163,0.203712898,-0.09879853,0.647754233,-0.271359843,0.080502955,-60.86578998,0.016265732,-0.381359264,0.407658837
5,-0.810623258,0.648116222,-0.42927868,0.037838689,1.492991243,-0.340865282,1.502742036,0.176657363,0.051828597,-118.5828412,0.060826533,0.844766903,0.709512743
6,0.456134431,1.715107688,0.579689711,0.026551092,2.198083278,1.549653242,1.787660629,1.703402878,0.054715121,16.32924961,1.499241295,1.36281368,0.297601108
7,-0.290218249,0.15116337,-0.054954726,0.053307046,0.127551655,0.120275505,0.288106545,0.073358863,0.075873195,-85.00167496,0.438883459,-0.152374917,0.010921713
8,0.270726411,-0.485074526,-0.454876099,0.047117728,0.558202219,-0.356699124,-0.10505829,-0.477521731,0.070642956,-3.589808764,-0.095856966,-0.368207964,-0.306391439
9,0.549469487,-0.114500827,0.301690849,0.012339806,0.627279176,0.11309336,0.370063901,0.051307216,0.083284245,20.71531782,0.619102392,-0.416738326,-0.868997768
